,All 16+,,
,London,England,UK
Jan 2004-Dec 2004,7.2,n/a,4.8
Jan 2005-Dec 2005,7.2,4.9,4.9
Jan 2006-Dec 2006,7.7,5,5.4
Jan 2007-Dec 2007,6.9,5.2,5.2
Jan 2008-Dec 2008,7.0,5.8,5.7
Jan 2009-Dec 2009,9.2,7.7,7.6
Jan 2010-Dec 2010,8.9,8.1,7.6
Jan 2011-Dec 2011,9.5,8,8.0
Jan 2012-Dec 2012,9.2,7.9,7.9
Jan 2013-Dec 2013,8.7,7.5,7.5
Jan 2014-Dec 2014,7.0,6.2,6.2
Jan 2015-Dec 2015,6.1,5.1,5.3
Jan 2016-Dec 2016,5.6,4.8,4.9
Jan 2017-Dec 2017,5.3,4.4,4.4
Jan 2018-Dec 2018,5.0,4.1,4.2
Jan 2019-Dec 2019,4.6,3.9,3.9
Jan 2020-Dec 2020,6.0,4.7,4.6
Jan 2021-Dec 2021,5.6,4.5,4.4
